"Equipment ID","Equipment Description","Equipment Status","VIN/Serial #","In Service Date","Branch ID","Company","Equipment"
"AD112583","TRUCK TRACTOR SLEEPER","Active","1XPVD09X1AD112583","07/13/2020","ALLLH","SRS Distribution","AD112583 - TRUCK TRACTOR SLEEPER"
"PD785499","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X6PD785499","06/09/2022","BSLDFW","Building Supply Logistics","PD785499 - TRUCK TRACTOR SLEEPER"
"RD648578","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X4RD648578","06/26/2023","BSLDFW","Building Supply Logistics","RD648578 - TRUCK TRACTOR SLEEPER"
"PD785505","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X8PD785505","01/06/2023","BSLDFW","SRS Distribution","PD785505 - TRUCK TRACTOR SLEEPER"
"ND785530","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X0ND785530","11/09/2021","BSLDFW","Building Supply Logistics","ND785530 - TRUCK TRACTOR SLEEPER"
"PD826738","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X7PD826738","03/07/2023","BSLDFW","Building Supply Logistics","PD826738 - TRUCK TRACTOR SLEEPER"
"LJ410128","TRUCK TRACTOR SLEEPER","Active","1XKYDP9XXLJ410128","09/11/2020","BSLDFW","Building Supply Logistics","LJ410128 - TRUCK TRACTOR SLEEPER"
"RD648582","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X6RD648582","02/27/2024","BSLDFW","SRS Distribution","RD648582 - TRUCK TRACTOR SLEEPER"
"PD785500","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X9PD785500","06/09/2022","BSLDFW","Building Supply Logistics","PD785500 - TRUCK TRACTOR SLEEPER"
"PD785501","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X0PD785501","08/03/2022","BSLDFW","Building Supply Logistics","PD785501 - TRUCK TRACTOR SLEEPER"
"PD826731","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X4PD826731","03/07/2023","BSLDFW","Building Supply Logistics","PD826731 - TRUCK TRACTOR SLEEPER"
"LD642366","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X4LD642366","09/01/2021","BSLDFW","Building Supply Logistics","LD642366 - TRUCK TRACTOR SLEEPER"
"LJ410130","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X8LJ410130","10/28/2020","BSLDFW","Building Supply Logistics","LJ410130 - TRUCK TRACTOR SLEEPER"
"KD492313","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X1KD492313","08/02/2022","BSLDFW","Building Supply Logistics","KD492313 - TRUCK TRACTOR SLEEPER"
"RD648580","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X2RD648580","09/14/2023","BSLDFW","Building Supply Logistics","RD648580 - TRUCK TRACTOR SLEEPER"
"PD785506","TRUCK TRACTOR SLEEPER","Active","1XPBDP9XXPD785506","03/16/2023","BSLDFW","Building Supply Logistics","PD785506 - TRUCK TRACTOR SLEEPER"
"RD648581","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X4RD648581","02/23/2024","BSLDFW","SRS Distribution","RD648581 - TRUCK TRACTOR SLEEPER"
"RD648579","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X6RD648579","06/26/2023","BSLDFW","Building Supply Logistics","RD648579 - TRUCK TRACTOR SLEEPER"
"RD608262","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X8RD608262","03/01/2024","BSLW","Building Supply Logistics","RD608262 - TRUCK TRACTOR SLEEPER"
"LJ387039","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X4LJ387039","10/18/2019","BSLW","Building Supply Logistics","LJ387039 - TRUCK TRACTOR SLEEPER"
"RD608264","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X1RD608264","03/01/2024","BSLW","Building Supply Logistics","RD608264 - TRUCK TRACTOR SLEEPER"
"GR483372","TRUCK TRACTOR SLEEPER","Disposed","1XKDD49X6GR483372","10/18/2019","BSLW","Building Supply Logistics","GR483372 - TRUCK TRACTOR SLEEPER"
"LJ414964","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X0LJ414964","02/07/2020","BSLW","Building Supply Logistics","LJ414964 - TRUCK TRACTOR SLEEPER"
"NJ140209","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X3NJ140209","01/19/2022","BSLW","Building Supply Logistics","NJ140209 - TRUCK TRACTOR SLEEPER"
"GR483374","TRUCK TRACTOR SLEEPER","Disposed","1XKDD49XXGR483374","10/18/2019","BSLW","Building Supply Logistics","GR483374 - TRUCK TRACTOR SLEEPER"
"PJ244619","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X1PJ244619","09/22/2022","BSLW","Building Supply Logistics","PJ244619 - TRUCK TRACTOR SLEEPER"
"KJ258152","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X4KJ258152","10/18/2019","BSLW","Building Supply Logistics","KJ258152 - TRUCK TRACTOR SLEEPER"
"LJ414965","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X2LJ414965","01/31/2020","BSLW","Building Supply Logistics","LJ414965 - TRUCK TRACTOR SLEEPER"
"NJ140208","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X1NJ140208","01/19/2022","BSLW","Building Supply Logistics","NJ140208 - TRUCK TRACTOR SLEEPER"
"GR483373","TRUCK TRACTOR SLEEPER","Disposed","1XKDD49X8GR483373","10/18/2019","BSLW","Building Supply Logistics","GR483373 - TRUCK TRACTOR SLEEPER"
"KJ258153","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X6KJ258153","10/18/2019","BSLW","Building Supply Logistics","KJ258153 - TRUCK TRACTOR SLEEPER"
"PJ244620","TRUCK TRACTOR SLEEPER","Active","1XKYDP9X8PJ244620","09/22/2022","BSLW","Building Supply Logistics","PJ244620 - TRUCK TRACTOR SLEEPER"
"GF120067","TRUCK TRACTOR SLEEPER","Disposed","3WKDD49X2GF120067","10/18/2019","BSLW","Building Supply Logistics","GF120067 - TRUCK TRACTOR SLEEPER"
"KJ293053","TRUCK TRACTOR SLEEPER","Active","1XKZP4EX1KJ293053","03/24/2023","MARSEAT","Heritage Landscape Supply Group","KJ293053 - TRUCK TRACTOR SLEEPER"
"PD850681","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X3PD850681","11/07/2022","SEREG","SRS Distribution","PD850681 - TRUCK TRACTOR SLEEPER"
"MD754849","TRUCK TRACTOR SLEEPER","Active","1XPBDP9X1MD754849","04/26/2021","SEREG","SRS Distribution","MD754849 - TRUCK TRACTOR SLEEPER"
"KN193787","TRUCK TRACTOR SLEEPER","Active","4V4NC9EH5KN193787","06/09/2022","XXOP","SRS Distribution","KN193787 - TRUCK TRACTOR SLEEPER"
"KN193801","TRUCK TRACTOR SLEEPER","Active","4V4NC9EH6KN193801","05/25/2022","XXOP","SRS Distribution","KN193801 - TRUCK TRACTOR SLEEPER"
"KN193802","TRUCK TRACTOR SLEEPER","Active","4V4NC9EH8KN193802","08/02/2022","XXOP","SRS Distribution","KN193802 - TRUCK TRACTOR SLEEPER"
"KN193818","TRUCK TRACTOR SLEEPER","Active","4V4NC9EH1KN193818","08/02/2022","XXOP","SRS Distribution","KN193818 - TRUCK TRACTOR SLEEPER"
"KN193813","TRUCK TRACTOR SLEEPER","Active","4V4NC9EH2KN193813","08/02/2022","XXOP","SRS Distribution","KN193813 - TRUCK TRACTOR SLEEPER"
"KN193812","TRUCK TRACTOR SLEEPER","Active","4V4NC9EH0KN193812","08/02/2022","XXOP","SRS Distribution","KN193812 - TRUCK TRACTOR SLEEPER"
"SN683046","TRUCK TRACTOR","On Order","4V4WC9EH8SN683046","","","SRS Distribution","SN683046 - TRUCK TRACTOR"
"SD716377","TRUCK TRACTOR","On Order","1XPBDP9X9SD716377","","","Heritage Pool Supply Group","SD716377 - TRUCK TRACTOR"
"ESFT6106","TRUCK TRACTOR","Active","3AKJGEBG2ESFT6106","08/26/2013","AACAS","SRS Distribution","ESFT6106 - TRUCK TRACTOR"
"SN666643","TRUCK TRACTOR","On Order","4V4WC9EH7SN666643","","AACAS","SRS Distribution","SN666643 - TRUCK TRACTOR"
"KSKK3725","TRUCK TRACTOR","Returned to Rental Company","3AKJGEDV4KSKK3725","05/29/2024","AACAS","SRS Distribution","KSKK3725 - TRUCK TRACTOR"
"GM077222","TRUCK TRACTOR","Active","1M1AW07Y3GM077222","04/25/2016","ADBAT","SRS Distribution","GM077222 - TRUCK TRACTOR"
"GM056855","TRUCK TRACTOR","Active","1M1AW09Y7GM056855","07/16/2015","ADBAT","SRS Distribution","GM056855 - TRUCK TRACTOR"
"DN133667","TRUCK TRACTOR","Active","4V4NC9EJ6DN133667","06/11/2015","ADBAT","SRS Distribution","DN133667 - TRUCK TRACTOR"
"SN683045","TRUCK TRACTOR","On Order","4V4WC9EH6SN683045","","ADBAT","SRS Distribution","SN683045 - TRUCK TRACTOR"
"MD757262","TRUCK TRACTOR","Active","1XPBDP9X6MD757262","03/26/2021","ADGUL","SRS Distribution","MD757262 - TRUCK TRACTOR"
"MD757263","TRUCK TRACTOR","Active","1XPBDP9X8MD757263","03/26/2021","ADGUL","SRS Distribution","MD757263 - TRUCK TRACTOR"
"NN289622","TRUCK TRACTOR","Returned to Rental Company","4V4NC9EH9NN289622","05/03/2024","ADGUL","SRS Distribution","NN289622 - TRUCK TRACTOR"
"PJ255501","TRUCK TRACTOR","Active","1XKYDK9X7PJ255501","11/16/2022","ADHAR","SRS Distribution","PJ255501 - TRUCK TRACTOR"
"GM059463","TRUCK TRACTOR","Active","1M1AW09Y5GM059463","05/20/2016","ADHAT","SRS Distribution","GM059463 - TRUCK TRACTOR"
"LN237107","TRUCK TRACTOR","Active","4V4WC9EH6LN237107","09/15/2019","ADHAT","SRS Distribution","LN237107 - TRUCK TRACTOR"
"GM056589","TRUCK TRACTOR","Active","1M1AW09Y1GM056589","06/16/2016","ADHUN","SRS Distribution","GM056589 - TRUCK TRACTOR"
"CSBP1941","TRUCK TRACTOR","Disposed","1FUJGEBG9CSBP1941","12/13/2011","ADLAF","SRS Distribution","CSBP1941 - TRUCK TRACTOR"
"LN250006","TRUCK TRACTOR","Active","4V4WC9EG0LN250006","09/25/2020","ADLAF","SRS Distribution","LN250006 - TRUCK TRACTOR"
"GM077765","TRUCK TRACTOR","Active","1M1AW09Y1GM077765","05/12/2016","ADLAF","SRS Distribution","GM077765 - TRUCK TRACTOR"
"LM019439","TRUCK TRACTOR","Active","1M1AN3GY4LM019439","10/01/2020","ADLAK","SRS Distribution","LM019439 - TRUCK TRACTOR"
"RSUY9682","TRUCK TRACTOR","Returned to Rental Company","3AKJHLDVXRSUY9682","02/22/2024","ADLOX","SRS Distribution","RSUY9682 - TRUCK TRACTOR"
"PD823442","TRUCK TRACTOR","Active","1XPBDP9X4PD823442","08/09/2022","ADLOX","SRS Distribution","PD823442 - TRUCK TRACTOR"
"EM040637","TRUCK TRACTOR","Active","1M1AW02Y6EM040637","01/22/2014","ADLOX","SRS Distribution","EM040637 - TRUCK TRACTOR"
"RN635694","TRUCK TRACTOR","Returned to Rental Company","4V4NC9EH4RN635694","04/22/2024","ADLOX","SRS Distribution","RN635694 - TRUCK TRACTOR"
"LN238981","TRUCK TRACTOR","Active","4V4WC9EH0LN238981","01/20/2020","ADMOB","SRS Distribution","LN238981 - TRUCK TRACTOR"
"PD774281","TRUCK TRACTOR","Active","1XPBDP9X1PD774281","07/29/2022","ADMRO","SRS Distribution","PD774281 - TRUCK TRACTOR"
"ND774277","TRUCK TRACTOR","Active","1XPBDP9X3ND774277","06/12/2022","ADTUP","SRS Distribution","ND774277 - TRUCK TRACTOR"
"PD823443","TRUCK TRACTOR","Active","1XPBDP9X6PD823443","10/03/2022","ADTUP","SRS Distribution","PD823443 - TRUCK TRACTOR"
"SN683040","TRUCK TRACTOR","On Order","4V4WC9EH7SN683040","","AHHOL","SRS Distribution","SN683040 - TRUCK TRACTOR"
"CD135761","TRUCK TRACTOR","Active","1XPHD49X5CD135761","05/07/2021","AHHOL","SRS Distribution","CD135761 - TRUCK TRACTOR"
"RN666582","TRUCK TRACTOR","Storm","4V4WC9EHXRN666582","06/04/2024","AHOLA","SRS Distribution","RN666582 - TRUCK TRACTOR"
"MD757255","TRUCK TRACTOR","Active","1XPBDP9X9MD757255","03/24/2021","AHSTP","SRS Distribution","MD757255 - TRUCK TRACTOR"
"SD716370","TRUCK TRACTOR","On Order","1XPBDP9X6SD716370","","ALLLH","SRS Distribution","SD716370 - TRUCK TRACTOR"
"SD716369","TRUCK TRACTOR","On Order","1XPBDP9XXSD716369","","ALLLH","SRS Distribution","SD716369 - TRUCK TRACTOR"
"8J645378","TRUCK TRACTOR","Active","1HSHXAHR08J645378","07/13/2020","ALLLH","SRS Distribution","8J645378 - TRUCK TRACTOR"
"MJ445662","TRUCK TRACTOR","Active","1XK1P4TX5MJ445662","09/10/2021","ALRKA","SRS Distribution","MJ445662 - TRUCK TRACTOR"
"RM046914","TRUCK TRACTOR","Active","1M1AN4GY2RM046914","03/14/2024","AMALB","SRS Distribution","RM046914 - TRUCK TRACTOR"
"SN667480","TRUCK TRACTOR","Active","4V4WC9EHXSN667480","07/08/2024","AMCRO","SRS Distribution","SN667480 - TRUCK TRACTOR"
"SD716368","TRUCK TRACTOR","Active","1XPBDP9X8SD716368","08/05/2024","AMDEN","SRS Distribution","SD716368 - TRUCK TRACTOR"
"RN430536","TRUCK TRACTOR","Active","3HSPCTZR2RN430536","10/20/2023","AMDEN","SRS Distribution","RN430536 - TRUCK TRACTOR"
"DSFB8844","TRUCK TRACTOR","Active","1FUJGEBG9DSFB8844","08/20/2012","AMDEN","SRS Distribution","DSFB8844 - TRUCK TRACTOR"
"SN666644","TRUCK TRACTOR","On Order","4V4WC9EH9SN666644","","AMDEN","SRS Distribution","SN666644 - TRUCK TRACTOR"
"JN885874","TRUCK TRACTOR","Active","4V4NC9EH0JN885874","02/21/2018","AMDEN","SRS Distribution","JN885874 - TRUCK TRACTOR"
"CLBL8328","TRUCK TRACTOR","Active","1FUJGEBG1CLBL8328","08/12/2011","AMDEN","SRS Distribution","CLBL8328 - TRUCK TRACTOR"
"GM056854","TRUCK TRACTOR","Active","1M1AW09Y5GM056854","07/16/2015","AMDEN","SRS Distribution","GM056854 - TRUCK TRACTOR"
"RN430526","TRUCK TRACTOR","Active","3HSPCTZRXRN430526","04/17/2024","AMEAG","SRS Distribution","RN430526 - TRUCK TRACTOR"
"NM026846","TRUCK TRACTOR","Active","1M1AN3GY4NM026846","01/26/2022","AMIND","SRS Distribution","NM026846 - TRUCK TRACTOR"
"HM081528","TRUCK TRACTOR","Active","1M1AW07Y1HM081528","06/23/2017","AMSDE","SRS Distribution","HM081528 - TRUCK TRACTOR"
"MSMK7149","TRUCK TRACTOR","Returned to Rental Company","3AKJHLDV0MSMK7149","10/19/2023","AQSNORR","Heritage Landscape Supply Group","MSMK7149 - TRUCK TRACTOR"
"RN473986","TRUCK TRACTOR","Rental","3HSDXTZN0RN473986","06/18/2024","AQSNORR","Heritage Landscape Supply Group","RN473986 - TRUCK TRACTOR"
"RN303346","TRUCK TRACTOR","Reserved","3HSPAAPT8RN303346","04/16/2024","AQSNORR","Heritage Landscape Supply Group","RN303346 - TRUCK TRACTOR"
"4HM86657","TRUCK TRACTOR","Disposed","1FUJBGAN14HM86657","10/05/2020","AQSNORR","Heritage Landscape Supply Group","4HM86657 - TRUCK TRACTOR"
"HD410065","TRUCK TRACTOR","Disposed","1XPCD79X9HD410065","03/16/2016","ARFAB","SRS Distribution","HD410065 - TRUCK TRACTOR"
"DLFF0501","TRUCK TRACTOR","Active","1FUJGEBG4DLFF0501","07/15/2019","ARMYB","SRS Distribution","DLFF0501 - TRUCK TRACTOR"
"SD716363","TRUCK TRACTOR","On Order","1XPBDP9X9SD716363","","ARMYB","SRS Distribution","SD716363 - TRUCK TRACTOR"
"KD267630","TRUCK TRACTOR","Active","1XPBDP9X6KD267630","04/12/2018","ARNCH","SRS Distribution","KD267630 - TRUCK TRACTOR"
"LD664617","TRUCK TRACTOR","Active","1XPBDP9X3LD664617","06/11/2019","ASFAY","SRS Distribution","LD664617 - TRUCK TRACTOR"
"LD664625","TRUCK TRACTOR","Active","1XPBDP9X2LD664625","10/09/2019","ASFAY","SRS Distribution","LD664625 - TRUCK TRACTOR"
"FM048033","TRUCK TRACTOR","Active","1M1AW09Y4FM048033","06/16/2014","ASFAY","SRS Distribution","FM048033 - TRUCK TRACTOR"
"ESFU9361","TRUCK TRACTOR","Disposed","3AKJGEBG6ESFU9361","12/06/2013","ASFAY","SRS Distribution","ESFU9361 - TRUCK TRACTOR"
"HD410064","TRUCK TRACTOR","Active","1XPCD79X7HD410064","03/16/2016","ASFAY","SRS Distribution","HD410064 - TRUCK TRACTOR"
"MD757258","TRUCK TRACTOR","Active","1XPBDP9X4MD757258","03/05/2021","ASFAY","SRS Distribution","MD757258 - TRUCK TRACTOR"
"KSKR7176","TRUCK TRACTOR","Active","3AKJGEDV4KSKR7176","08/26/2019","ASFAY","SRS Distribution","KSKR7176 - TRUCK TRACTOR"
"CLBT2220","TRUCK TRACTOR","Disposed","1FVJGBDV3CLBT2220","05/07/2012","ASFAY","SRS Distribution","CLBT2220 - TRUCK TRACTOR"
"PD774283","TRUCK TRACTOR","Active","1XPBDP9X5PD774283","07/18/2022","ASFAY","SRS Distribution","PD774283 - TRUCK TRACTOR"
"NN147793","TRUCK TRACTOR","Returned to Rental Company","3HSDZTZR4NN147793","05/31/2024","ASMAR","SRS Distribution","NN147793 - TRUCK TRACTOR"
"SN668620","TRUCK TRACTOR","Active","4V4WC9DH3SN668620","05/23/2024","ASMAR","SRS Distribution","SN668620 - TRUCK TRACTOR"
"PD820380","TRUCK TRACTOR","Active","1XPCD49X0PD820380","07/18/2022","ASMAR","SRS Distribution","PD820380 - TRUCK TRACTOR"
"MD757259","TRUCK TRACTOR","Active","1XPBDP9X6MD757259","03/11/2021","ASMAR","SRS Distribution","MD757259 - TRUCK TRACTOR"
"PD823446","TRUCK TRACTOR","Active","1XPBDP9X1PD823446","09/13/2022","ASMAR","SRS Distribution","PD823446 - TRUCK TRACTOR"
"LD664623","TRUCK TRACTOR","Active","1XPBDP9X9LD664623","06/12/2019","ASMAR","SRS Distribution","LD664623 - TRUCK TRACTOR"
"RN656202","TRUCK TRACTOR","Returned to Rental Company","4V4NC9EH7RN656202","05/31/2024","ASMAR","SRS Distribution","RN656202 - TRUCK TRACTOR"
"LD664628","TRUCK TRACTOR","Active","1XPBDP9X8LD664628","10/02/2019","ASMAR","SRS Distribution","LD664628 - TRUCK TRACTOR"
"CSBD3604","TRUCK TRACTOR","Disposed","1FUJGEDV0CSBD3604","10/18/2011","ASMAR","SRS Distribution","CSBD3604 - TRUCK TRACTOR"
"GM056590","TRUCK TRACTOR","Active","1M1AW09Y8GM056590","05/31/2016","ASNOR","SRS Distribution","GM056590 - TRUCK TRACTOR"
"RLUN8990","TRUCK TRACTOR","Active","5KJJBPDV0RLUN8990","07/13/2023","ASNOR","SRS Distribution","RLUN8990 - TRUCK TRACTOR"
"LD664629","TRUCK TRACTOR","Active","1XPBDP9XXLD664629","06/04/2019","ASNOR","SRS Distribution","LD664629 - TRUCK TRACTOR"
"DLFH9944","TRUCK TRACTOR","Disposed","1FUJGBDV4DLFH9944","06/05/2013","ASNOR","SRS Distribution","DLFH9944 - TRUCK TRACTOR"
"LD664618","TRUCK TRACTOR","Active","1XPBDP9X5LD664618","06/05/2019","ASNOR","SRS Distribution","LD664618 - TRUCK TRACTOR"
"ELFU3821","TRUCK TRACTOR","Disposed","1FUJGEBG1ELFU3821","10/21/2020","ASNOR","SRS Distribution","ELFU3821 - TRUCK TRACTOR"
"HDHS9086","TRUCK TRACTOR","Active","3AKJGEDV6HDHS9086","07/01/2020","ASNOR","SRS Distribution","HDHS9086 - TRUCK TRACTOR"
"FSGK2496","TRUCK TRACTOR","Active","3AKJGBDV6FSGK2496","05/21/2021","BBSSAND","Heritage Landscape Supply Group","FSGK2496 - TRUCK TRACTOR"
"SD716355","TRUCK TRACTOR","Active","1XPBDP9XXSD716355","07/02/2024","BBSSAND","SRS Distribution","SD716355 - TRUCK TRACTOR"
"PD823449","TRUCK TRACTOR","Active","1XPBDP9X7PD823449","09/19/2022","BLBUF","SRS Distribution","PD823449 - TRUCK TRACTOR"
"FH181558","TRUCK TRACTOR","Disposed","1HSDHSNR1FH181558","02/11/2015","BLBUF","SRS Distribution","FH181558 - TRUCK TRACTOR"
"LM019435","TRUCK TRACTOR","Active","1M1AN3GY7LM019435","04/14/2020","BLMON","SRS Distribution","LM019435 - TRUCK TRACTOR"
"HM083521","TRUCK TRACTOR","Active","1M1AW07Y8HM083521","06/19/2017","BLROC","SRS Distribution","HM083521 - TRUCK TRACTOR"
"CSBM6400","TRUCK TRACTOR","Disposed","1FUJGBDV1CSBM6400","05/11/2012","BRBUR","SRS Distribution","CSBM6400 - TRUCK TRACTOR"
"JM087517","TRUCK TRACTOR","Active","1M1AW09Y0JM087517","07/31/2018","BRRIV","SRS Distribution","JM087517 - TRUCK TRACTOR"
"KD611091","TRUCK TRACTOR","Active","1XPBDP9X3KD611091","12/07/2018","BRSIM","SRS Distribution","KD611091 - TRUCK TRACTOR"
"DSFH1530","TRUCK TRACTOR","Disposed","3AKJGEBG0DSFH1530","12/17/2012","BRVIC","SRS Distribution","DSFH1530 - TRUCK TRACTOR"
"GM056904","TRUCK TRACTOR","Active","1M1AW09Y5GM056904","08/04/2015","BRVIC","SRS Distribution","GM056904 - TRUCK TRACTOR"
"ND774271","TRUCK TRACTOR","Active","1XPBDP9X2ND774271","03/23/2022","BSLDFW","Building Supply Logistics","ND774271 - TRUCK TRACTOR"
"ND787259","TRUCK TRACTOR","Active","1XPCDP9X5ND787259","11/15/2021","BSLDFW","Building Supply Logistics","ND787259 - TRUCK TRACTOR"
"GDHN3971","TRUCK TRACTOR","Active","3AKJGED58GDHN3971","08/26/2019","BSLDFW","Building Supply Logistics","GDHN3971 - TRUCK TRACTOR"
"GDHN3966","TRUCK TRACTOR","Active","3AKJGED54GDHN3966","08/26/2019","BSLDFW","Building Supply Logistics","GDHN3966 - TRUCK TRACTOR"
"KSKJ7406","TRUCK TRACTOR","Active","3AKJHLDV0KSKJ7406","08/26/2019","BSLDFW","Building Supply Logistics","KSKJ7406 - TRUCK TRACTOR"
"ND787258","TRUCK TRACTOR","Reserved","1XPCDP9X3ND787258","11/09/2021","BSLDFW","Building Supply Logistics","ND787258 - TRUCK TRACTOR"
"ND785055","TRUCK TRACTOR","Active","1XPCDP0X5ND785055","09/01/2021","BSLDFW","SRS Distribution","ND785055 - TRUCK TRACTOR"
"ND787256","TRUCK TRACTOR","Active","1XPCDP9XXND787256","10/01/2021","BSLDFW","SRS Distribution","ND787256 - TRUCK TRACTOR"
"DJ346548","TRUCK TRACTOR","Disposed","1XKDD49X9DJ346548","10/18/2019","BSLW","Building Supply Logistics","DJ346548 - TRUCK TRACTOR"
"PD774284","TRUCK TRACTOR","Active","1XPBDP9X7PD774284","07/21/2022","BSWIN","SRS Distribution","PD774284 - TRUCK TRACTOR"
"PD774280","TRUCK TRACTOR","Active","1XPBDP9XXPD774280","07/26/2022","BSWIN","SRS Distribution","PD774280 - TRUCK TRACTOR"
"CLBP0167","TRUCK TRACTOR","Disposed","1FUJGEBG9CLBP0167","07/26/2012","CAAUG","SRS Distribution","CLBP0167 - TRUCK TRACTOR"
"LN254944","TRUCK TRACTOR","Active","4V4WC9DG7LN254944","07/17/2020","CAAUG","SRS Distribution","LN254944 - TRUCK TRACTOR"
"ESFT9659","TRUCK TRACTOR","Active","3AKJGEBG3ESFT9659","11/20/2020","CAAUG","SRS Distribution","ESFT9659 - TRUCK TRACTOR"
"ESFS7757","TRUCK TRACTOR","Disposed","3AKJGEDV4ESFS7757","06/24/2013","CAAUG","SRS Distribution","ESFS7757 - TRUCK TRACTOR"
"MSMS2926","TRUCK TRACTOR","Returned to Rental Company","3AKJHLDV6MSMS2926","04/12/2024","CAGRE","SRS Distribution","MSMS2926 - TRUCK TRACTOR"
"ND774278","TRUCK TRACTOR","Active","1XPBDP9X5ND774278","03/16/2022","CAGRE","SRS Distribution","ND774278 - TRUCK TRACTOR"
"KN134742","TRUCK TRACTOR","Returned to Rental Company","3HSDZTZR5KN134742","06/14/2024","CAGRE","SRS Distribution","KN134742 - TRUCK TRACTOR"
"HM083522","TRUCK TRACTOR","Active","1M1AW07YXHM083522","07/12/2017","CAGRE","SRS Distribution","HM083522 - TRUCK TRACTOR"
"FM047253","TRUCK TRACTOR","Reserved","1M1AW09Y2FM047253","06/24/2014","CAGRE","SRS Distribution","FM047253 - TRUCK TRACTOR"
"FM049597","TRUCK TRACTOR","Active","1M1AW09Y0FM049597","09/09/2014","CAGRE","SRS Distribution","FM049597 - TRUCK TRACTOR"
"HM083524","TRUCK TRACTOR","Active","1M1AW07Y3HM083524","07/12/2017","CAGRE","SRS Distribution","HM083524 - TRUCK TRACTOR"
"PJ255499","TRUCK TRACTOR","Active","1XKYDK9X2PJ255499","10/27/2022","CCSBA","SRS Distribution","PJ255499 - TRUCK TRACTOR"
"4J019447","TRUCK TRACTOR","Disposed","1HSHXAXR34J019447","11/02/2020","CCSBA","SRS Distribution","4J019447 - TRUCK TRACTOR"
"EH772840","TRUCK TRACTOR","Disposed","1HSDJAPRXEH772840","08/24/2018","CCSTL","SRS Distribution","EH772840 - TRUCK TRACTOR"
"RN666579","TRUCK TRACTOR","Active","4V4WC9EHXRN666579","06/14/2024","CCSTL","SRS Distribution","RN666579 - TRUCK TRACTOR"
"ND774261","TRUCK TRACTOR","Active","1XPBDP9XXND774261","07/18/2022","CCSTL","SRS Distribution","ND774261 - TRUCK TRACTOR"
"DJ344391","TRUCK TRACTOR","Active","1XKDD49X3DJ344391","01/19/2018","CCSTL","SRS Distribution","DJ344391 - TRUCK TRACTOR"
"DSBM6417","TRUCK TRACTOR","Disposed","1FUJGEDRXDSBM6417","07/15/2013","CDALP","SRS Distribution","DSBM6417 - TRUCK TRACTOR"
"GDHN3950","TRUCK TRACTOR","Active","3AKJGED50GDHN3950","08/26/2019","CDDAL","SRS Distribution","GDHN3950 - TRUCK TRACTOR"
"GDHN3954","TRUCK TRACTOR","Active","3AKJGED58GDHN3954","08/26/2019","CDDAL","SRS Distribution","GDHN3954 - TRUCK TRACTOR"
"FM046331","TRUCK TRACTOR","Active","1M1AW09Y2FM046331","01/23/2015","CDDAL","SRS Distribution","FM046331 - TRUCK TRACTOR"
"HDHS9259","TRUCK TRACTOR","Active","3AKJGEDV0HDHS9259","08/26/2019","CDFTW","SRS Distribution","HDHS9259 - TRUCK TRACTOR"
"KSKR7175","TRUCK TRACTOR","Active","3AKJGEDV2KSKR7175","08/26/2019","CDFTW","SRS Distribution","KSKR7175 - TRUCK TRACTOR"
"GM077699","TRUCK TRACTOR","Active","1M1AW07YXGM077699","04/25/2016","CDFTW","SRS Distribution","GM077699 - TRUCK TRACTOR"
"GM060149","TRUCK TRACTOR","Active","1M2AW07C0GM060149","09/10/2015","CDHOU","SRS Distribution","GM060149 - TRUCK TRACTOR"
"DLFG0526","TRUCK TRACTOR","Active","1FUJGEBG4DLFG0526","11/27/2012","CDHOU","SRS Distribution","DLFG0526 - TRUCK TRACTOR"
"GM060154","TRUCK TRACTOR","Active","1M2AW07C4GM060154","09/24/2015","CDHOU","SRS Distribution","GM060154 - TRUCK TRACTOR"
"GM053597","TRUCK TRACTOR","Disposed","1M1AW09Y7GM053597","05/04/2015","CDHOU","SRS Distribution","GM053597 - TRUCK TRACTOR"
